,loan_amount_approved,mortgage_amount_due,property_current_value,loan_request_reason,applicant_job_type,years_at_present_job,major_derogatory_reports,delinquent_credit_lines,age_of_oldest_credit_line,recent_credit_inquiries,existing_credit_lines,debt_to_income_ratio
0,-1.559185251953468,-1.05976455054279,-1.0913333065561028,1.437207838181994,0.0532669447173933,0.21433891355732293,-0.33486543581354605,-0.4187829581500128,-0.9787591958801899,-0.10896042145771945,-1.2109098504992752,-0.05430861820287466
1,-1.541327202416394,-0.02566567668111628,-0.5771394466271292,1.437207838181994,0.0532669447173933,-0.26864456850930746,-0.33486543581354605,1.4414072352641332,-0.6586726002634532,-0.7122550865003583,-0.7096574122548991,0.00917355953380765
2,-1.5234691528793203,-1.3489837047285271,-1.482120640102123,1.437207838181994,0.0532669447173933,-0.6826304102807049,-0.33486543581354605,-0.4187829581500128,-0.3366437314943814,-0.10896042145771945,-1.1106593628504,-0.007069446253459604
3,-1.5234691528793203,-1.6648784119702305,-1.7744453196191905,-0.7019363599843593,-1.7152804574261693,4.902577209636613e-16,-2.7725775786325945e-16,-1.2907662393189426e-15,-2.078474186553917,-1.6074999066332622e-15,-2.1131642393391523,-9.244932226949687e-16
4,-1.5056111033422463,0.6236032449363312,0.18605552504617287,1.437207838181994,-0.831006756354388,-0.8206256908711708,-0.33486543581354605,-0.4187829581500128,-0.9908012886858274,-0.7122550865003583,-0.7096574122548991,-0.1006463594613316
5,-1.5056111033422463,-0.9500671885021155,-1.0686650155396595,1.437207838181994,0.0532669447173933,0.007345992671624191,-0.33486543581354605,-0.4187829581500128,-0.8960261115582066,-0.10896042145771945,-1.3111603381481505,0.4178643177883008
6,-1.4966820785737094,-0.5265108851108509,-0.7760427600015268,1.437207838181994,0.0532669447173933,-0.5446351296902392,3.411108369182117,1.4414072352641332,-1.17997868199039,-0.10896042145771945,-0.40890594930827334,0.05227440385554332
7,-1.4966820785737094,-0.9979427863551913,-1.0211578790001794,1.437207838181994,0.0532669447173933,0.28333655385255585,-0.33486543581354605,-0.4187829581500128,-1.044026990649465,-0.7122550865003583,-1.3111603381481505,0.38810543283330656
8,-1.4788240290366357,-0.8997112322069936,-0.9562863064079486,1.437207838181994,0.0532669447173933,-0.8206256908711708,-0.33486543581354605,1.4414072352641332,0.44958839174681214,-0.10896042145771945,-0.9101583875526496,0.13908829731815384
9,-1.4788240290366357,-0.5274685226541141,-0.6847919483654505,1.437207838181994,1.8218143468609558,0.973312956804885,-0.33486543581354605,-0.4187829581500128,-0.7289828839799033,-0.7122550865003583,-0.8099078999037743,-0.19512470336016263
10,-1.4788240290366357,-1.1358600755761246,-1.1664673776527599,-0.3959696536213172,-0.70452704644657,1.2493035179858167,-0.08770579745659168,0.04846900656028582,-0.9591577525814252,-0.09132658411962266,-0.6025902676336616,-0.07574957085805568
11,-1.4788240290366357,-1.1822146989128517,-1.2528120591635847,1.437207838181994,-0.831006756354388,0.28333655385255585,-0.33486543581354605,0.5113121385570601,-0.6505150535294134,-0.10896042145771945,-1.2109098504992752,0.011502688667636762
